"","x"
"699","SCG3"
"700","PCSK1"
"701","CRISP3"
"702","CPLX2"
"703","TFF3"
"704","MUCL3"
"705","MUC5AC"
"706","EEF1A2"
"707","TFF1"
"708","GAST"
"709","ELAPOR1"
"710","AGR2"
"711","APLP1"
"712","C6orf58"
"713","MUC6"
"714","FGB"
"715","ABCC8"
"716","MUC5B"
"717","SCG5"
"718","PCSK2"
"719","GC"
"720","PCSK1N"
"721","AGT"
"722","PTPRN"
"723","SCG2"
"724","REG4"
"725","TFF2"
"726","CPE"
"727","CHGA"
"728","PPY"
"729","CHGB"
"730","SST"
"731","TTR"
